date,FELONY,MISDEMEANOR,VIOLATION,total
2007-07-21,488,892,202,1582
2007-07-22,455,777,199,1431
2007-07-23,416,697,183,1296
2007-07-24,476,952,219,1647
2007-07-25,505,949,203,1657
2007-07-26,512,875,188,1575
2007-07-27,538,937,196,1671
2007-07-28,511,900,165,1576
2007-07-29,429,779,156,1364
2007-07-30,495,812,186,1493
2007-07-31,521,917,220,1658
2007-08-01,699,1130,216,2045
2007-08-02,504,944,171,1619
2007-08-03,570,943,169,1682
2007-08-04,471,820,176,1467
2007-08-05,430,803,180,1413
2007-08-06,468,752,211,1431
2007-08-07,531,924,202,1657
2007-08-08,447,833,176,1456
2007-08-09,481,916,192,1589
2007-08-10,544,834,174,1552
2007-08-11,447,927,170,1544
2007-08-12,434,849,177,1460
2007-08-13,455,829,185,1469
2007-08-14,460,913,183,1556
2007-08-15,555,924,201,1680
2007-08-16,469,884,164,1517
2007-08-17,541,879,163,1583
2007-08-18,451,856,154,1461
2007-08-19,404,751,160,1315
2007-08-20,487,748,175,1410
2007-08-21,426,749,113,1288
2007-08-22,501,832,175,1508
2007-08-23,472,917,172,1561
2007-08-24,526,911,185,1622
2007-08-25,480,873,181,1534
2007-08-26,447,777,193,1417
2007-08-27,477,843,175,1495
2007-08-28,465,862,197,1524
2007-08-29,419,882,196,1497
2007-08-30,503,868,202,1573
2007-08-31,563,861,198,1622
2007-09-01,606,994,219,1819
2007-09-02,416,710,175,1301
2007-09-03,398,731,195,1324
2007-09-04,480,873,228,1581
2007-09-05,510,835,239,1584
2007-09-06,481,893,209,1583
2007-09-07,552,959,231,1742
2007-09-08,483,933,197,1613
2007-09-09,431,832,209,1472
2007-09-10,493,814,208,1515
2007-09-11,470,849,155,1474
2007-09-12,514,992,222,1728
2007-09-13,479,862,176,1517
2007-09-14,535,933,186,1654
2007-09-15,509,901,211,1621
2007-09-16,393,827,188,1408
2007-09-17,472,743,185,1400
2007-09-18,482,788,209,1479
2007-09-19,485,911,197,1593
2007-09-20,564,876,204,1644
2007-09-21,568,953,238,1759
2007-09-22,439,936,190,1565
2007-09-23,418,867,202,1487
2007-09-24,450,831,206,1487
2007-09-25,492,859,223,1574
2007-09-26,539,901,225,1665
2007-09-27,529,904,230,1663
2007-09-28,604,911,234,1749
2007-09-29,468,908,213,1589
2007-09-30,452,791,169,1412
2007-10-01,630,947,230,1807
2007-10-02,507,848,219,1574
2007-10-03,510,921,192,1623
